cve_ent,municipalitie,population,total_cases,cases_rate,cases_rate_last_60_days,total_deaths,deaths_rate,deaths_rate_last_60_days,pct_obesity_up20years,pct_hypertension_up20years,pct_diabetes_up20years
13006,Alfajayucan,22078,89,403.116224295679,18.117583114412536,21,95.11731135066582,0.0,30.351921837389366,19.4944074769682,13.391449994939732
13007,Almoloya,13135,143,1088.694328130948,106.58545869813476,9,68.51922344880091,15.226494099733536,32.852378194956316,16.713013952424387,12.572297344964808
13008,Apan,48036,883,1838.2046798234655,91.59796819052376,134,278.9574485802315,22.899492047630943,31.444079297457012,20.872988765653712,13.316901341285213
13009,El Arenal,20199,128,633.6947373632358,14.852220406950838,44,217.8325659686123,0.0,29.803138333198504,17.80627532345841,11.333806652354019
13010,Atitalaquia,32226,468,1452.2435300688885,52.752435921305775,114,353.7516291193446,3.103084465959163,36.56710888918049,18.992986617614875,12.404225782461372
13011,Atlapexco,21662,55,253.90084018096204,9.232757824762256,7,32.3146523866679,4.616378912381128,23.160280402797547,19.053637526125556,11.914517187455223
13012,Atotonilco el Grande,29469,151,512.4028640266042,50.900946757609695,27,91.62170416369744,6.786792901014626,27.286537060929376,18.428463102067045,13.025642228006342
13013,Atotonilco de Tula,41039,522,1271.9608177587172,77.97460951777578,116,282.6579595019372,2.436706547430493,34.13944995527945,17.287248578422403,11.144367550784105
13014,Calnali,18680,85,455.0321199143469,16.059957173447536,7,37.473233404710925,0.0,26.815158598481027,20.318564464356914,15.62968831084497
13015,Cardonal,19853,109,549.0354102654511,50.37022112527074,27,135.999597038231,10.074044225054148,27.92502597696864,18.78024664504931,14.419464614129657
13016,Cuautepec de Hinojosa,62361,342,548.4196853802857,24.05349497281955,96,153.94236782604514,1.6035663315213031,28.45674405592996,16.027317786317724,12.106047922985026
13017,Chapantongo,14659,191,1302.953816767856,27.28699092707552,14,95.50446824476433,0.0,32.678981771450474,17.550718906838323,14.770609654470366
13018,Chapulhuacan,25460,44,172.82010997643363,0.0,9,35.349567949725056,0.0,31.691710943563013,18.435404819328433,12.46807373377281
